2026-07-02 09:07:38.337 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97542852000142: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.345 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97542773000131: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.371 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97542495000112: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.386 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97542472000108: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.397 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97542378000159: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.411 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97542365000180: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.419 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97542231000169: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.427 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97542085000171: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.436 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97542072000100: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.444 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97542039000172: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.469 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97541909000199: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.470 | INFO     | services.casa_dados_client:pesquisar_todos:148 - Pesquisando termo 'condominio' pagina 4 (fonte gratuita)...
2026-07-02 09:07:38.700 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97541861000119: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
2026-07-02 09:07:38.709 | WARNING  | services.casa_dados_client:pesquisar_todos:171 - Erro ao obter detalhe de 97541783000152: Bloqueio Cloudflare ao acessar pagina de detalhe. Defina CF_CLEARANCE e USER_AGENT no .env.
