cnpj,razao_social,nome_fantasia,situacao_cadastral,data_situacao,motivo_situacao,data_abertura,matriz_filial,natureza_juridica,mei,simples,capital_social,porte,cnae_principal_codigo,cnae_principal_descricao,cnaes_secundarios,logradouro,numero,complemento,bairro,cep,municipio,uf,telefone1,telefone2,email,socios,ultima_atualizacao
52.699.872/0001-93,CONDOMINIO RESIDENCIAL AURA VILLAGE,-,ATIVA,,,04/04/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA AURA,02,,VILA MARIETA,03617100,SAO PAULO,SP,(11) 26952900,,,,
52.693.425/0001-27,CONDOMINIO RESIDENCIAL TARU VILLAGE,RESIDENCIAL TARU VILLAGE,ATIVA,,,30/05/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA TARU,204,206.,VILA RE,03660030,SAO PAULO,SP,(11) 29572083,,,,
52.692.494/0001-16,CONDOMINIO RESIDENCIAL BRAS,CONDOMINIO RESIDENCIAL BRAS,ATIVA,,,17/03/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CAETANO PINTO,211,,BRAS,03041000,SAO PAULO,SP,(11) 981210300,,,,
52.680.598/0001-00,CONDOMINIO RESIDENCIAL SPERANZA,CONDOMINIO RESIDENCIAL SPERANZA,ATIVA,,,31/08/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA MAESTRO JOSE TESCARI,51,,VILA GRANADA,03655030,SAO PAULO,SP,(11) 20796271,,,,
52.680.307/0001-84,CONDOMINIO VILLAGGIO DI SAN FRANCISCO,-,ATIVA,,,16/08/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA CLARA DE MIRANDA,89,,VILA POLOPOLI,05365110,SAO PAULO,SP,(11) 985444644,,,,
52.675.583/0001-54,CONDOMINIO RESIDENCIAL ALCACER VILLAGE,RESIDENCIAL ALCACER VILLAGE,ATIVA,,,16/08/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA ALCACER,284,,VILA GRANADA,03655000,SAO PAULO,SP,(11) 25072083,,,,
52.672.652/0001-76,RESIDENCIAL GONCALVES ARANHA,GONCALVES ARANHA,ATIVA,,,03/10/2022,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA GONCALVES ARANHA,117,,VILA SANTA TEREZINHA (ZONA NORTE),02271110,SAO PAULO,SP,(11) 29871448,,,,
52.670.470/0001-66,RESIDENCIAL CHEZ ANALIA,RESIDENCIAL CHEZ ANALIA,ATIVA,,,19/06/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA SANTA BATILDE,50,,VILA FORMOSA,03360025,SAO PAULO,SP,(11) 54611056,,,,
52.667.165/0001-15,RESIDENCIAL MS MARESIAS,-,ATIVA,,,24/08/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA IDEAL,56,,VILA POPULAR,08461150,SAO PAULO,SP,(11) 37774623,,,,
52.662.626/0001-67,RESIDENCIAL W TOPAZIO,RESIDENCIAL W TOPAZIO,ATIVA,,,21/08/2023,MATRIZ,,Nao,Nao,"R$ 0,00","{'codigo': '05', 'descricao': 'Demais'}",8112500,Condomínios prediais,,RUA DAS DALIAS,293,,VILA BELA,03202060,SAO PAULO,SP,(11) 54611056,,,,
